sid,dat,tim,open_value,low,high,close_value,volume
146,2020-05-04,15:03:00,200.2,198.76,205,204.91,13567678
146,2020-05-04,15:04:00,200.2,198.76,205,204.83,13612139
146,2020-05-04,15:05:00,200.2,198.76,205,204.945,13658483
146,2020-05-04,15:06:00,200.2,198.76,205,204.79,13703513
146,2020-05-04,15:07:00,200.2,198.76,205,204.77,13741440
146,2020-05-04,15:08:00,200.2,198.76,205,204.8,13798492
146,2020-05-04,15:09:00,200.2,198.76,205,204.91,13834788
146,2020-05-04,15:10:00,200.2,198.76,205.09,205.048,14015148
146,2020-05-04,15:11:00,200.2,198.76,205.22,205.165,14099398
146,2020-05-04,15:12:00,200.2,198.76,205.3,205.21,14169479
146,2020-05-04,15:13:00,200.2,198.76,205.4,205.35,14247601
146,2020-05-04,15:14:00,200.2,198.76,205.4,205.081,14305915
146,2020-05-04,15:15:00,200.2,198.76,205.4,205.18,14344818
146,2020-05-04,15:16:00,200.2,198.76,205.4,205.19,14376742
146,2020-05-04,15:17:00,200.2,198.76,205.41,205.27,14425028
146,2020-05-04,15:18:00,200.2,198.76,205.41,205.33,14465227
146,2020-05-04,15:19:00,200.2,198.76,205.41,205.25,14500587
146,2020-05-04,15:20:00,200.2,198.76,205.41,205.14,14547436
146,2020-05-04,15:21:00,200.2,198.76,205.45,205.41,14606981
146,2020-05-04,15:22:00,200.2,198.76,205.56,205.54,14698161
146,2020-05-04,15:23:00,200.2,198.76,205.56,205.507,14730773
146,2020-05-04,15:24:00,200.2,198.76,205.57,205.485,14757226
146,2020-05-04,15:25:00,200.2,198.76,205.57,205.38,14780964
146,2020-05-04,15:26:00,200.2,198.76,205.57,205.24,14841511
146,2020-05-04,15:27:00,200.2,198.76,205.57,204.99,14891058
146,2020-05-04,15:28:00,200.2,198.76,205.57,205.06,14924794
146,2020-05-04,15:29:00,200.2,198.76,205.57,205.33,14982567
146,2020-05-04,15:30:00,200.2,198.76,205.57,205.116,15038356
146,2020-05-04,15:31:00,200.2,198.76,205.57,205.048,15068375
146,2020-05-04,15:32:00,200.2,198.76,205.57,205.06,15110649
146,2020-05-04,15:33:00,200.2,198.76,205.57,205.2,15164019
146,2020-05-04,15:34:00,200.2,198.76,205.57,205.17,15204806
146,2020-05-04,15:35:00,200.2,198.76,205.57,205.252,15252401
146,2020-05-04,15:36:00,200.2,198.76,205.57,205.2,15297302
146,2020-05-04,15:37:00,200.2,198.76,205.57,205.29,15352465
146,2020-05-04,15:38:00,200.2,198.76,205.57,205.21,15389853
146,2020-05-04,15:39:00,200.2,198.76,205.57,205.13,15444441
146,2020-05-04,15:40:00,200.2,198.76,205.57,205.1,15482124
146,2020-05-04,15:41:00,200.2,198.76,205.57,205.13,15532057
146,2020-05-04,15:42:00,200.2,198.76,205.57,205.2,15560135
146,2020-05-04,15:43:00,200.2,198.76,205.57,205.275,15609779
146,2020-05-04,15:44:00,200.2,198.76,205.57,205.405,15689965
146,2020-05-04,15:45:00,200.2,198.76,205.57,205.44,15735738
146,2020-05-04,15:46:00,200.2,198.76,205.57,205.42,15786696
146,2020-05-04,15:47:00,200.2,198.76,205.57,205.47,15844800
146,2020-05-04,15:48:00,200.2,198.76,205.57,205.27,15877946
146,2020-05-04,15:49:00,200.2,198.76,205.57,205.13,15922346
146,2020-05-04,15:50:00,200.2,198.76,205.57,205.07,15963276
146,2020-05-04,15:51:00,200.2,198.76,205.57,204.51,16179971
146,2020-05-04,15:53:00,200.2,198.76,205.57,204.478,16207503
146,2020-05-04,15:54:00,200.2,198.76,205.57,204.219,16305360
146,2020-05-04,15:55:00,200.2,198.76,205.57,204.51,16434697
146,2020-05-04,15:56:00,200.2,198.76,205.57,204.78,16496722
146,2020-05-04,15:57:00,200.2,198.76,205.57,204.81,16608937
146,2020-05-04,15:58:00,200.2,198.76,205.57,205.17,16779317
146,2020-05-04,15:59:00,200.2,198.76,205.57,205.33,16813332
146,2020-05-05,10:00:00,207.02,206.76,209.08,208.78,2871095
146,2020-05-05,10:01:00,207.02,206.76,209.08,209.02,2962738
146,2020-05-05,10:02:00,207.02,206.76,209.19,209.05,3048444
146,2020-05-05,10:03:00,207.02,206.76,209.19,209.06,3123117
146,2020-05-05,10:04:00,207.02,206.76,209.19,209.14,3190904
146,2020-05-05,10:05:00,207.02,206.76,209.3,209.23,3281977
146,2020-05-05,10:06:00,207.02,206.76,209.3,209.12,3406249
146,2020-05-05,10:07:00,207.02,206.76,209.38,209.25,3526849
146,2020-05-05,10:08:00,207.02,206.76,209.48,209.455,3582867
146,2020-05-05,10:09:00,207.02,206.76,209.48,209.36,3640053
146,2020-05-05,10:10:00,207.02,206.76,209.62,209.525,3754153
146,2020-05-05,10:11:00,207.02,206.76,209.62,209.32,3836725
146,2020-05-05,10:12:00,207.02,206.76,209.62,209.34,3898724
146,2020-05-05,10:13:00,207.02,206.76,209.62,209.24,3949943
146,2020-05-05,10:14:00,207.02,206.76,209.62,209.074,3998496
146,2020-05-05,10:15:00,207.02,206.76,209.62,208.69,4084922
146,2020-05-05,10:16:00,207.02,206.76,209.62,208.559,4140062
146,2020-05-05,10:17:00,207.02,206.76,209.62,208.66,4211960
146,2020-05-05,10:18:00,207.02,206.76,209.62,208.31,4260426
146,2020-05-05,10:19:00,207.02,206.76,209.62,208.46,4306758
146,2020-05-05,10:20:00,207.02,206.76,209.62,208.68,4380711
146,2020-05-05,10:21:00,207.02,206.76,209.62,208.88,4462761
